make,model,year,color,engine_fuel_type,engine_hp,engine_cylinders,transmission_type,driven_wheels,number_of_doors,market_category,vehicle_size,vehicle_style,city_kpl,price
Acura,TLX,2015,Black,Petrol,290,6,Automatic,all wheel drive,4,E,Midsize,Sedan,8.93,4157500.00
Acura,ILX,2015,Black,Petrol,150,4,Automatic,front wheel drive,4,C,Compact,Sedan,10.20,3175000.00
Acura,ILX,2015,White,Petrol,150,4,Automatic,front wheel drive,4,C,Compact,Sedan,10.20,2935000.00
Acura,ILX,2015,Gray,Petrol,150,4,Automatic,front wheel drive,4,C,Compact,Sedan,10.20,2705000.00
Acura,TLX,2015,White,Petrol,290,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.93,4260000.00
Acura,TLX,2015,Gray,Petrol,290,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.93,3937500.00
Acura,TLX,2015,Silver,Petrol,290,6,Automatic,all wheel drive,4,E,Midsize,Sedan,8.93,4480000.00
Acura,TLX,2015,Red,Petrol,290,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.93,3532000.00
Acura,MDX,2015,Black,Petrol,290,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.65,4456500.00
Acura,MDX,2015,White,Petrol,290,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.65,4884000.00
Acura,MDX,2015,Gray,Petrol,290,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.65,5084000.00
Acura,MDX,2015,Silver,Petrol,290,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.50,4256500.00
Acura,MDX,2015,Blue,Petrol,290,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.50,4884000.00
Acura,MDX,2015,Red,Petrol,290,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.50,4684000.00
Acura,RLX,2015,Black,Petrol,310,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.50,5095000.00
Acura,RLX,2015,Blue,Petrol,310,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.50,6045000.00
Acura,RLX,2015,Red,Petrol,310,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.50,4845000.00
Acura,RDX,2015,Black,Petrol,273,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,8.08,3649500.00
Acura,RDX,2015,White,Petrol,273,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,8.08,4019500.00
Acura,RDX,2015,Red,Petrol,273,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.50,3879500.00
Acura,RDX,2015,Silver,Petrol,273,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.50,3509500.00
Acura,RLX,2015,Silver,Petrol,310,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.50,5445000.00
Acura,RLX,2015,White,Petrol,310,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.50,5695000.00
Acura,TLX,2016,Black,Petrol,290,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.93,3532000.00
Acura,TLX,2016,White,Petrol,290,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.93,3937500.00
Acura,MDX,2016,Black,Petrol,290,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.08,4301500.00
Acura,MDX,2016,White,Petrol,290,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.08,4451500.00
Acura,MDX,2016,Gray,Petrol,290,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.65,4501500.00
Acura,MDX,2016,Silver,Petrol,290,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.65,4651500.00
Acura,MDX,2016,Blue,Petrol,290,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.08,4744000.00
Acura,MDX,2016,Red,Petrol,290,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.08,4864000.00
Acura,TLX,2016,Gray,Petrol,290,6,Automatic,all wheel drive,4,E,Midsize,Sedan,8.93,4157500.00
Acura,TLX,2016,Red,Petrol,290,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.93,4260000.00
Acura,RDX,2016,Black,Petrol,279,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.50,3537000.00
Acura,RDX,2016,White,Petrol,279,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.50,3667000.00
Acura,RDX,2016,Gray,Petrol,279,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,8.08,3687000.00
Acura,RDX,2016,Silver,Petrol,279,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,8.08,3817000.00
Acura,RDX,2016,Blue,Petrol,279,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.50,3907000.00
Acura,RDX,2016,Red,Petrol,279,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.50,4037000.00
Acura,RLX,2016,Black,Petrol,310,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.50,5095000.00
Acura,RLX,2016,Silver,Petrol,310,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.50,5445000.00
Acura,RLX,2016,Red,Petrol,310,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.50,6045000.00
Acura,TLX,2016,Blue,Petrol,290,6,Automatic,all wheel drive,4,E,Midsize,Sedan,8.93,4480000.00
Acura,ILX,2016,Black,Petrol,201,4,Automated manual,front wheel drive,4,C,Compact,Sedan,10.63,2790000.00
Acura,ILX,2016,White,Petrol,201,4,Automated manual,front wheel drive,4,C,Compact,Sedan,10.63,2920000.00
Acura,ILX,2016,Silver,Petrol,201,4,Automated manual,front wheel drive,4,C,Compact,Sedan,10.63,2990000.00
Acura,ILX,2016,Gray,Petrol,201,4,Automated manual,front wheel drive,4,C,Compact,Sedan,10.63,3189000.00
Acura,ILX,2016,Blue,Petrol,201,4,Automated manual,front wheel drive,4,C,Compact,Sedan,10.63,3290000.00
Acura,ILX,2016,Red,Petrol,201,4,Automated manual,front wheel drive,4,C,Compact,Sedan,10.63,3489000.00
Audi,A3,2017,Black,Petrol,220,4,Automated manual,all wheel drive,4,C,Compact,Sedan,11.05,3420000.00
Audi,A3,2017,White,Petrol,220,4,Automated manual,all wheel drive,4,C,Compact,Sedan,11.05,3745000.00
Acura,MDX,2017,Black,Petrol,290,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.08,4836000.00
Acura,MDX,2017,White,Petrol,290,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.65,5036000.00
Acura,MDX,2017,Gray,Petrol,290,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.65,5236000.00
Acura,MDX,2017,Silver,Petrol,290,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,8.08,5640000.00
Acura,MDX,2017,Blue,Petrol,290,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.50,5640000.00
Acura,MDX,2017,Red,Petrol,290,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,8.08,5840000.00
Acura,RDX,2017,Black,Petrol,279,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.50,3687000.00
Acura,RDX,2017,White,Petrol,279,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,8.08,3707000.00
